|ITEM_CODE|ITEM_NAME1                                      |ITEM_NAME2                            |VENDER_CODE|VENDER_NAME                                        |ORDER_DATE             |BUYER_CODE|BUYER_NAME    |
|---------|------------------------------------------------|--------------------------------------|-----------|---------------------------------------------------|-----------------------|----------|--------------|
|240010005|LOCTITE SUPER GLUE                              |INK                                   |1000358    |CHOTIWAT MACHINERY LTD.,PART.                      |2018-04-07 00:00:00.000|906       |Oranut.B      |
|240010011|ADHESIVE PAD 12"PAD-M-06SIZE 240MM X 330MM      |ADHESIVE (250 SH/PK)                  |1000722    |INFRA RESOURCE CO.,LTD                             |2024-02-26 00:00:00.000|222       |Piyaporn.Pr   |
|240010012|ADHESIVE PAD PAD 6" PAD-SS SIZE 240MM X 180MM   |ADHESIVE (1 BX/7 PK ,1 PK/250 SH)     |1000722    |INFRA RESOURCE CO.,LTD                             |2024-02-26 00:00:00.000|222       |Piyaporn.Pr   |
|240010013|STICKY MAT SIZE:26"X45"(30 SHEET/MAT,10MAT/CASE)|                                      |1000370    |CLEANSTAT(THAILAND) CO.,LTD.                       |2020-10-05 00:00:00.000|237       |Sunee         |
|240010017|GLUE EASY BOND 20 G                             |                                      |1002193    |UNITED POWER EQUIPMENT CO.,LTD.                    |2024-02-02 00:00:00.000|222       |Piyaporn.Pr   |
|240010018|LOCTITE  495 SUPER BONDER INSTANT ADHESIVE(20 G)|                                      |1000951    |LONG SHINE (THAILAND) CO.,LTD.                     |2024-02-08 00:00:00.000|222       |Piyaporn.Pr   |
|240010019|ADHESIVE PAD 12"SIZE 24 X 33 CM (1 PK/ 50 SHEET)|ADHESIVE PAD                          |1006602    |AVEST COMPANY LIMITED                              |2024-02-15 00:00:00.000|222       |Piyaporn.Pr   |
|240010020|ADHESIVE PAD 6"SIZE 24 X 18 CM (1 PK/50 SHEET)  |ADHESIVE PAD                          |1006602    |AVEST COMPANY LIMITED                              |2024-02-15 00:00:00.000|222       |Piyaporn.Pr   |
|240010022|STICKY MAT GSMB-26-45 SIZE 26X45(BLUE)          |STICKT MAT                            |1001071    |MISUMI (THAILAND) CO.,LTD.                         |2024-02-22 00:00:00.000|222       |Piyaporn.Pr   |
|240010023|TC 2810-ML DUOPA                                |3M THERMALLY CONDUCTIVE EPOXY ADHESIVE|1000397    |CST SUPPLY CO.,LTD.                                |2024-01-10 00:00:00.000|130       |PR-Phattama   |
|240020002|AU-9103 THICKNESS 1.5MM ! SIZE: 1030MMX1030MM/PC|BACK UP BOARD                         |1005948    |AURONA INDUSTRIES,INC.                             |2015-09-10 00:00:00.000|224       |Yoshimura     |
|240020003|AU-9103 THICKNESS 0.5MM ! SIZE: 1030MMX1030MM/PC|BACK UP BOARD                         |1005948    |AURONA INDUSTRIES,INC.                             |2015-05-20 00:00:00.000|224       |Yoshimura     |
|240020007|KAB1-A050 (AL:100UM,AD:45UM) SIZE:500MMX140M/RL |DRILL COVER BOARD                     |1004099    |CIRCUIT MATERIALS INC.                             |2015-09-19 00:00:00.000|224       |Yoshimura     |
|240020008|BU27 0.5T*1030MMX1030MM                         |BACK UP BOARD                         |1006061    |SATO-SHOJI HONG KONG COMPANY LIMITED               |2021-10-28 00:00:00.000|229       |Chanthri      |
|240020009|BU27 1.5T*1030MMX1030MM                         |BACK UP BOARD                         |1006061    |SATO-SHOJI HONG KONG COMPANY LIMITED               |2014-10-03 00:00:00.000|224       |Yoshimura     |
